phi0_real rho_c_max
.33744658892608626 1.98126356174117824
.33794658892608626 2.05731061010779515
.33844658892608626 2.13337341131322678
.33894658892608626 2.21505558974450034
.33944658892608626 2.30531732810134482
.33994658892608626 2.39166840930826519
.34044658892608626 2.49280283933512070
.34094658892608626 2.59745423398789654
.34144658892608626 2.70299644074935186
.34194658892608626 2.82207097104340132
.34244658892608626 2.95000662904030886
.34294658892608626 3.07820709711444129
.34344658892608626 3.22048506022133640
.34394658892608626 3.37719591837704103
.34444658892608626 3.54031644233084064
.34494658892608626 3.72448157863666873
.34594658892608626 4.13109919236687695
.34694658892608626 4.61377328949487797
.34744658892608626 4.90860922371141672
.34794658892608626 5.21588694099196193
.34844658892608626 5.57797950076255411
.34894658892608627 5.99861269021463528
.34944658892608627 6.48474674041129884
.34969658892608629 6.75142011764932182
.34994658892608627 7.05338416324538287
.35019658892608629 7.38547012186540375
.35044658892608627 7.72822736377503361






